GT inlier,Total time,Recall,Precision,F1-score
0031_1031_0.3,0.0013,0.99729,1,0.998643
0032_1032_0.3,0.0014,0.992495,1,0.996233
0033_1033_0.3,0.0023,0.997946,1,0.998972
0034_1034_0.3,0.002,0.992375,1,0.996172
0035_1035_0.3,0.0029,0.986957,1,0.993431
0036_1036_0.3,0.0019,0.991228,0.999411,0.995302
0037_1037_0.3,0.0036,0.987973,1,0.99395
0038_1038_0.3,0.0079,0.875196,0.999728,0.900216
0039_1039_0.3,0.0022,0.988235,1,0.994083
0040_1040_0.3,0.003,0.984,0.980079,0.98203
0.299984,0.00688718,0.829497,0.97891,0.862366
,,,,
0001_1001_0.4,0.0028,0.993949,0.998866,0.996401
0002_1002_0.4,0.0057,0.679912,0.977168,0.715758
0003_1003_0.4,0.0052,0.609627,0.870952,0.624901
0004_1004_0.4,0.0014,0.992273,0.999087,0.995667
0005_1005_0.4,0.004,0.961818,1,0.978408
0006_1006_0.4,0.0022,0.991923,0.999225,0.99556
0007_1007_0.4,0.0027,0.977952,0.999631,0.988672
0008_1008_0.4,0.0042,0.984466,0.999283,0.991819
0009_1009_0.4,0.0034,0.976697,0.999896,0.98816
0010_1010_0.4,0.0029,0.95748,1,0.978278
0011_1011_0.4,0.0018,0.986172,0.998976,0.992532
0012_1012_0.4,0.0031,0.945804,0.985788,0.965381
0013_1013_0.4,0.0031,0.877682,1,0.934784
0014_1014_0.4,0.0054,0.547368,0.944444,0.663461
0016_1016_0.4,0.0054,0.7151,0.969851,0.810016
0017_1017_0.4,0.0024,0.982813,0.998414,0.990551
0018_1018_0.4,0.0021,0.98776,0.990963,0.989358
0019_1019_0.4,0.0024,0.982479,0.991808,0.98712
0020_1020_0.4,0.0019,0.978626,0.997472,0.987959
0021_1021_0.4,0.0053,0.96529,0.99495,0.979886
0022_1022_0.4,0.0057,0.981985,0.998138,0.989995
0023_1023_0.4,0.0047,0.979177,0.996514,0.987767
0024_1024_0.4,0.0033,0.967784,0.999876,0.983569
0025_1025_0.4,0.0034,0.914951,1,0.955582
0026_1026_0.4,0.006,0.228383,0.934607,0.359304
0027_1027_0.4,0.0078,0.264,0.97017,0.407113
0028_1028_0.4,0.0078,0.176626,0.949264,0.294473
0029_1029_0.4,0.0077,0.211938,0.967345,0.339895
0030_1030_0.4,0.0085,0.264222,0.956625,0.39668
0031_1031_0.4,0.0014,0.998261,1,0.99913
0032_1032_0.4,0.0017,0.998696,1,0.999348
0033_1033_0.4,0.0024,0.996691,1,0.998343
0034_1034_0.4,0.0017,0.992157,1,0.996063
0035_1035_0.4,0.0026,0.98913,1,0.994536
0036_1036_0.4,0.0021,0.984567,0.999745,0.992098
0037_1037_0.4,0.0026,0.986972,1,0.993443
0038_1038_0.4,0.0036,0.972324,0.998929,0.985446
0039_1039_0.4,0.0018,0.987059,0.998414,0.992704
0040_1040_0.4,0.003,0.977,0.989835,0.982627
0.400088,0.00372308,0.845311,0.98657,0.876995
,,,,
0001_1001_0.5,0.0017,0.993406,0.99901,0.9962
0002_1002_0.5,0.0022,0.802208,0.978889,0.811744
0003_1003_0.5,0.0028,0.785093,1,0.813159
0004_1004_0.5,0.0005,0.991818,1,0.995891
0005_1005_0.5,0.0018,0.811818,0.994118,0.850907
0006_1006_0.5,0.0034,0.992479,0.999828,0.99614
0007_1007_0.5,0.0034,0.986586,0.999431,0.992967
0008_1008_0.5,0.0041,0.988496,0.999268,0.993853
0009_1009_0.5,0.0026,0.980142,0.99907,0.989515
0010_1010_0.5,0.0024,0.960761,1,0.979987
0011_1011_0.5,0.0018,0.984272,0.999166,0.991663
0012_1012_0.5,0.0026,0.943881,0.987745,0.965313
0013_1013_0.5,0.0022,0.938197,0.99864,0.967448
0014_1014_0.5,0.0025,0.775439,1,0.872844
0016_1016_0.5,0.0029,0.84943,0.988698,0.905595
0017_1017_0.5,0.0017,0.980903,0.999822,0.990271
0018_1018_0.5,0.0019,0.989831,0.99412,0.99197
0019_1019_0.5,0.0018,0.982621,0.995097,0.988818
0020_1020_0.5,0.0023,0.976845,0.998569,0.987588
0021_1021_0.5,0.0044,0.97413,0.994904,0.984404
0022_1022_0.5,0.0045,0.98542,0.998144,0.991741
0023_1023_0.5,0.0041,0.984233,0.998436,0.991282
0024_1024_0.5,0.0026,0.970898,1,0.985234
0025_1025_0.5,0.0022,0.926796,1,0.962001
0026_1026_0.5,0.0046,0.151762,0.952299,0.255668
0027_1027_0.5,0.0046,0.197806,0.950814,0.31374
0028_1028_0.5,0.0027,0.0617096,0.893089,0.113953
0029_1029_0.5,0.0037,0.32486,0.9798,0.444165
0030_1030_0.5,0.0033,0.270444,0.968925,0.404971
0031_1031_0.5,0.0015,0.99884,1,0.99942
0032_1032_0.5,0.0027,0.995888,1,0.99794
0033_1033_0.5,0.0016,0.997672,1,0.998834
0034_1034_0.5,0.0017,0.993464,1,0.996721
0035_1035_0.5,0.0015,0.98913,1,0.994536
0036_1036_0.5,0.0023,0.988659,0.999302,0.993952
0037_1037_0.5,0.0013,0.987207,1,0.993562
0038_1038_0.5,0.0023,0.969974,0.999465,0.984485
0039_1039_0.5,0.0013,0.988235,1,0.994083
0040_1040_0.5,0.0013,0.998,1,0.998995
0.5,0.00253333,0.858189,0.991453,0.884143
,,,,
0001_1001_0.6,0.0019,0.993307,1,0.996642
0002_1002_0.6,0.0014,0.652097,0.986517,0.689165
0003_1003_0.6,0.001,0.990994,1,0.995476
0004_1004_0.6,0.0007,0.993182,1,0.996578
0005_1005_0.6,0.0009,0.989091,1,0.994508
0006_1006_0.6,0.0052,0.99641,0.999086,0.997746
0007_1007_0.6,0.0054,0.991573,0.998873,0.995209
0008_1008_0.6,0.0027,0.990748,0.999189,0.99495
0009_1009_0.6,0.002,0.987234,0.999795,0.993475
0010_1010_0.6,0.0018,0.967323,0.999729,0.983258
0011_1011_0.6,0.0015,0.989202,0.997396,0.993282
0012_1012_0.6,0.0014,0.968881,0.996404,0.982448
0013_1013_0.6,0.0019,0.930472,0.995406,0.961702
0014_1014_0.6,0.0014,0.831579,1,0.907842
0016_1016_0.6,0.0023,0.912928,0.992556,0.94839
0017_1017_0.6,0.0019,0.989236,0.998948,0.994068
0018_1018_0.6,0.0018,0.993299,0.995557,0.994427
0019_1019_0.6,0.0019,0.986805,0.996257,0.991508
0020_1020_0.6,0.002,0.979712,0.998044,0.988792
0021_1021_0.6,0.0032,0.980725,0.995736,0.988171
0022_1022_0.6,0.0034,0.988092,0.99892,0.993476
0023_1023_0.6,0.0029,0.987318,0.998527,0.99289
0024_1024_0.6,0.0016,0.975569,0.998774,0.987035
0025_1025_0.6,0.0013,0.939029,1,0.968552
0026_1026_0.6,0.0014,0.0465492,0.766998,0.0849397
0027_1027_0.6,0.0019,0.133124,0.8613,0.21229
0028_1028_0.6,0.0016,0.00750782,0.634242,0.0146052
0029_1029_0.6,0.0019,0.163904,0.924798,0.240142
0030_1030_0.6,0.0016,0.299556,0.963904,0.425278
0031_1031_0.6,0.0026,0.999227,1,0.999613
0032_1032_0.6,0.0021,0.99825,1,0.999124
0033_1033_0.6,0.0014,0.997549,1,0.998773
0034_1034_0.6,0.0009,0.993464,1,0.996721
0035_1035_0.6,0.0011,0.988043,1,0.993983
0036_1036_0.6,0.0015,0.98787,0.999103,0.993454
0037_1037_0.6,0.0014,0.988967,0.999882,0.994394
0038_1038_0.6,0.0013,0.82376,0.998832,0.861173
0039_1039_0.6,0.0008,0.987451,1,0.993684
0040_1040_0.6,0.0012,0.991,0.99001,0.990492
0.600044,0.00190256,0.856693,0.976533,0.875084
,,,,
0001_1001_0.7,0.0015,0.993012,1,0.996494
0002_1002_0.7,0.001,0.995585,1,0.997788
0003_1003_0.7,0.0003,0.895031,0.9875,0.900655
0004_1004_0.7,0.0005,0.991818,1,0.995891
0005_1005_0.7,0.0004,0.500909,0.875238,0.558251
0006_1006_0.7,0.0047,0.996614,0.999434,0.998022
0007_1007_0.7,0.0038,0.99122,0.999525,0.995355
0008_1008_0.7,0.0025,0.990668,0.999838,0.995231
0009_1009_0.7,0.0017,0.987234,1,0.993576
0010_1010_0.7,0.0011,0.966667,0.999865,0.982985
0011_1011_0.7,0.0012,0.985329,0.999762,0.992493
0012_1012_0.7,0.001,0.965385,0.994596,0.979766
0013_1013_0.7,0.0006,0.913734,1,0.954713
0014_1014_0.7,0.0002,0.550877,0.973333,0.659825
0016_1016_0.7,0.002,0.95151,0.995704,0.971772
0017_1017_0.7,0.0016,0.988782,0.999806,0.994263
0018_1018_0.7,0.0015,0.993402,0.996175,0.994787
0019_1019_0.7,0.0017,0.98615,0.995816,0.990959
0020_1020_0.7,0.0009,0.978992,0.998408,0.988604
0021_1021_0.7,0.0026,0.981014,0.996394,0.988643
0022_1022_0.7,0.0025,0.98687,0.998455,0.992629
0023_1023_0.7,0.0019,0.98509,0.998524,0.991757
0024_1024_0.7,0.0015,0.974731,0.999877,0.987144
0025_1025_0.7,0.0009,0.932039,1,0.96478
0026_1026_0.7,0.0016,0.210576,0.986726,0.347082
0027_1027_0.7,0.0018,0.195745,1,0.327402
0028_1028_0.7,0.0017,0.0850886,0.736887,0.141521
0029_1029_0.7,0.0014,0.0515449,0.813281,0.0923956
0030_1030_0.7,0.0009,0.0684444,0.89741,0.125207
0031_1031_0.7,0.0023,0.999302,1,0.999651
0032_1032_0.7,0.0016,0.99825,1,0.999124
0033_1033_0.7,0.0012,0.998162,1,0.99908
0034_1034_0.7,0.0006,0.993464,0.999344,0.996395
0035_1035_0.7,0.0002,0.98913,1,0.994536
0036_1036_0.7,0.0016,0.988166,0.999801,0.993948
0037_1037_0.7,0.0011,0.987089,1,0.993503
0038_1038_0.7,0.0007,0.887467,0.998,0.909787
0039_1039_0.7,0.0004,0.987451,0.998811,0.993098
0040_1040_0.7,0.0007,0.774,0.989605,0.822795
0.700164,0.00142051,0.838373,0.980208,0.861587
,,,,
0001_1001_0.8,0.0008,0.993012,1,0.996494
0002_1002_0.8,0.0005,0.926711,1,0.956394
0003_1003_0.8,0.0008,0.951553,1,0.972799
0004_1004_0.8,0.0003,0.989091,1,0.994489
0005_1005_0.8,0.0006,0.829091,0.96,0.851905
0006_1006_0.8,0.0026,0.997065,0.999887,0.998474
0007_1007_0.8,0.0029,0.993872,0.999171,0.996514
0008_1008_0.8,0.0015,0.993403,0.999838,0.99661
0009_1009_0.8,0.0012,0.990071,1,0.995011
0010_1010_0.8,0.001,0.972835,0.999865,0.986165
0011_1011_0.8,0.0008,0.984977,1,0.992431
0012_1012_0.8,0.0005,0.942483,0.998335,0.969597
0013_1013_0.8,0.0006,0.915021,1,0.952931
0014_1014_0.8,0.0004,0.740351,1,0.838303
0016_1016_0.8,0.0025,0.953797,0.996417,0.973271
0017_1017_0.8,0.0011,0.990221,0.99913,0.994651
0018_1018_0.8,0.0013,0.994021,0.99793,0.995971
0019_1019_0.8,0.0012,0.989095,0.998019,0.993537
0020_1020_0.8,0.0011,0.984154,0.997445,0.990754
0021_1021_0.8,0.0019,0.988188,0.998536,0.993335
0022_1022_0.8,0.0016,0.988931,1,0.994434
0023_1023_0.8,0.0012,0.987404,1,0.99366
0024_1024_0.8,0.001,0.977725,1,0.988736
0025_1025_0.8,0.0008,0.927573,1,0.960861
0026_1026_0.8,0.0018,0.294334,1,0.454804
0027_1027_0.8,0.0013,0.290213,1,0.449868
0028_1028_0.8,0.001,0.376434,1,0.54697
0029_1029_0.8,0.0006,0.239185,0.99327,0.377485
0030_1030_0.8,0.0006,0.113333,0.962888,0.188815
0031_1031_0.8,0.0017,0.999302,1,0.999651
0032_1032_0.8,0.0011,0.99825,1,0.999124
0033_1033_0.8,0.0009,0.997917,1,0.998957
0034_1034_0.8,0.0007,0.9939,1,0.99694
0035_1035_0.8,0.0002,0.98913,1,0.994536
0036_1036_0.8,0.0011,0.984418,1,0.992148
0037_1037_0.8,0.0007,0.986972,1,0.993443
0038_1038_0.8,0.0005,0.934204,0.99826,0.963353
0039_1039_0.8,0.001,0.981176,1,0.99038
0040_1040_0.8,0.0005,0.896,0.988235,0.915958
0.800189,0.00107436,0.873728,0.997108,0.903584
,,,,
0001_1001_0.9,0.0006,0.890945,0.999204,0.897642
0002_1002_0.9,0.0003,0.850993,0.998449,0.88318
0003_1003_0.9,0.0002,0.928261,1,0.954934
0004_1004_0.9,0.0003,0.991364,1,0.995663
0005_1005_0.9,0.0002,0.990909,1,0.995434
0006_1006_0.9,0.0024,0.997122,0.999943,0.998531
0007_1007_0.9,0.0023,0.993872,0.999763,0.996808
0008_1008_0.9,0.0017,0.993484,0.998302,0.995887
0009_1009_0.9,0.0008,0.990071,1,0.995011
0010_1010_0.9,0.0007,0.972047,1,0.985825
0011_1011_0.9,0.0005,0.984624,1,0.992253
0012_1012_0.9,0.0006,0.859615,0.998346,0.917853
0013_1013_0.9,0.0003,0.762661,1,0.827012
0014_1014_0.9,0.0001,0.461404,0.995238,0.585815
0016_1016_0.9,0.0016,0.98161,0.998977,0.990066
0017_1017_0.9,0.0009,0.991275,0.999034,0.995139
0018_1018_0.9,0.0009,0.993814,0.99793,0.995868
0019_1019_0.9,0.0008,0.987241,0.998897,0.993029
0020_1020_0.9,0.0009,0.984274,1,0.992075
